,city,country,lat,lng,humidity,temp,max_temp,clouds,wind
401,bauru,BR,-22.3147,-49.0606,88,71.73,73.4,90,2.3
402,ruwi,OM,23.5996,58.5507,77,66.2,66.2,0,4.61
403,ulladulla,AU,-35.35,150.4667,49,66.97,68,40,12.66
404,bilibino,RU,68.0546,166.4372,86,-0.72,-0.72,0,5.39
405,grimshaw,CA,56.1834,-117.6027,71,-4,-4,90,12.66
406,trairi,BR,-3.2778,-39.2689,77,78.46,78.46,1,10.29
407,bida,NG,9.0833,6.0167,26,83.43,83.43,0,1.21
408,bom despacho,BR,-19.7364,-45.2522,90,70.61,70.61,100,3.44
409,gornopravdinsk,RU,60.05,69.9,97,11.71,11.71,91,4.21
410,katol,IN,21.2667,78.5833,62,55.4,55.4,21,3.44
411,aklavik,CA,68.2191,-135.0107,75,-27.4,-27.4,20,6.91
412,ust-tsilma,RU,65.441,52.1498,95,9.82,9.82,100,6.64
